name_code,Kingdom_C,Phylum_C,Class_C,Order_C,Family_C,Genus_C,Species,ForestConservation,Unusual,ScientificName_C,ScientificName,Latitude,Longitude,Country_C,County_C,iPrecision ,InstitutionCode,CollectedDateTime
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.39,120.72,,,10,Forestry bureau,2006/7/7 19:57
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.44,120.83,,,10,Forestry bureau,2006/8/2 15:58
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.4,120.74,,,10,Forestry bureau,2006/8/3 1:30
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.39,120.88,,,10,Forestry bureau,2006/9/12 4:59
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.52,120.7,,,10,Forestry bureau,2006/9/15 9:55
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.39,120.88,,,10,Forestry bureau,2006/9/18 3:32
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.52,120.7,,,10,Forestry bureau,2006/9/25 16:6
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.44,120.83,,,10,Forestry bureau,2006/9/26 20:26
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.63,120.91,,,10,Forestry bureau,2007/1/20 19:59
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.64,120.93,,,10,Forestry bureau,2007/10/15 2:59
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.63,120.92,,,10,Forestry bureau,2007/10/9 23:39
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.6,120.77,,,10,Forestry bureau,2007/11/11 17:59
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.6,120.77,,,10,Forestry bureau,2007/11/25 6:59
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.6,120.75,,,10,Forestry bureau,2007/12/11 23:4
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.6,120.77,,,10,Forestry bureau,2007/12/25 14:3
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.4,120.89,,,10,Forestry bureau,2007/2/21 16:37
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.4,120.89,,,10,Forestry bureau,2007/3/5 3:58
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.63,120.84,,,10,Forestry bureau,2007/4/18 4:36
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.63,120.84,,,10,Forestry bureau,2007/4/2 0:21
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.6,120.77,,,10,Forestry bureau,2007/5/22 17:6
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.6,120.77,,,10,Forestry bureau,2007/6/14 0:44
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.6,120.77,,,10,Forestry bureau,2007/6/14 4:15
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.6,120.77,,,10,Forestry bureau,2007/7/15 23:7
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.6,120.75,,,10,Forestry bureau,2007/7/24 19:14
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.6,120.75,,,10,Forestry bureau,2007/7/30 19:16
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.6,120.77,,,10,Forestry bureau,2007/8/1 1:9
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.6,120.77,,,10,Forestry bureau,2007/8/1 5:16
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.6,120.75,,,10,Forestry bureau,2007/8/10 23:51
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.6,120.77,,,10,Forestry bureau,2007/8/12 19:27
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.6,120.75,,,10,Forestry bureau,2007/8/15 20:55
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.6,120.77,,,10,Forestry bureau,2007/8/16 3:39
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.6,120.75,,,10,Forestry bureau,2007/8/2 3:0
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.6,120.77,,,10,Forestry bureau,2007/8/24 4:2
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.64,120.93,,,10,Forestry bureau,2007/8/25 23:56
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.64,120.93,,,10,Forestry bureau,2007/9/30 4:40
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.6,120.77,,,10,Forestry bureau,2007/9/30 8:35
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.6,120.77,,,10,Forestry bureau,2008/1/11 10:24
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.6,120.75,,,10,Forestry bureau,2008/1/13 17:32
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.6,120.75,,,10,Forestry bureau,2008/1/21 22:15
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.6,120.75,,,10,Forestry bureau,2008/1/29 0:32
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.6,120.77,,,10,Forestry bureau,2008/1/29 2:17
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.61,120.86,,,10,Forestry bureau,2008/2/3 21:35
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.6,120.75,,,10,Forestry bureau,2008/3/10 23:50
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.6,120.77,,,10,Forestry bureau,2008/3/19 20:55
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.6,120.75,,,10,Forestry bureau,2008/4/4 18:17
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.61,120.86,,,10,Forestry bureau,2008/5/18 13:4
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.57,120.87,,,10,Forestry bureau,2008/6/24 1:1
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.36,120.77,,,10,Forestry bureau,2008/6/29 5:13
416107,,,,,,,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.48,120.91,,,10,Forestry bureau,2008/8/16 22:50
416107,動物界,脊索動物門,哺乳綱,食肉目,貓科,豹貓屬,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,22.59,120.87,,,-1,Forestry bureau,
416107,動物界,脊索動物門,哺乳綱,食肉目,貓科,豹貓屬,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,22.67,120.9,,,-1,Forestry bureau,
416107,動物界,脊索動物門,哺乳綱,食肉目,貓科,豹貓屬,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,24.46,120.97,,,-1,Forestry bureau,
416107,動物界,脊索動物門,哺乳綱,食肉目,貓科,豹貓屬,bengalensis,I,,石虎;華南豹貓;豹貓;山貓;金錢貓,Prionailurus bengalensis,22.67,120.93,,,-1,Forestry bureau,
