日期 ,事件,文字,"分類（以逗號分隔：開發案, 路殺, 衝突, 友善農耕,石虎研究）",資訊連結,經度（路殺或目擊事件才需登）,緯度（路殺或目擊事件才需登）,資料來源（e-info或其他媒體）,
2012/8/13,【留住石虎系列報導】淺山開發不斷，裴家騏提醒《野生動物保育法》排除淺山地區，形成石虎保育漏洞。,,石虎研究,http://e-info.org.tw/node/79413,無,無,環境資訊中心,
2012/8/14,苗栗縣府稱：後龍殯葬園區基地，不曾傳石虎出沒。,,後龍殯葬園區,http://e-info.org.tw/node/79628,無,無,聯合報,
2012/8/20,【影音-我們的島】苗栗的生死關卡,,後龍殯葬園區,https://www.youtube.com/watch?v=VpAOhEb8xKA,無,無,公共電視,
2012/8/30,【留住石虎系列報導】怪手開上山坡 小石虎有家歸不得,,石虎研究,http://e-info.org.tw/node/79952,無,無,環境資訊中心,
2012/8/30,今晚為石虎搖滾一下　後龍辦音樂法會護眾生,,後龍殯葬園區,http://e-info.org.tw/node/79977,無,無,環境資訊中心,
2012/8/31,救石虎，搖滾音樂法會拒殯葬園。,,後龍殯葬園區,http://e-info.org.tw/node/79795,無,無,中央社,
2012/10/24,路殺？ 又見石虎倒臥血泊,,路殺,http://e-info.org.tw/node/81417,24.322873,120.865683,環境資訊中心,座標來自GoogleMap苗栗縣卓蘭鎮
2012/10/30,殯葬園區開挖石虎不見了 後龍長輩「金不甘」,,後龍殯葬園區,http://e-info.org.tw/node/81532,24.477118,120.719148,環境資訊中心,座標來自GoogleMap苗栗縣通霄鎮
2012/11/16,卓蘭又見落單小石虎 保育員「通知家長帶回」,,石虎研究,http://e-info.org.tw/node/81938,24.322873,120.865683,環境資訊中心,座標來自GoogleMap苗栗縣卓蘭鎮
2012/12/28,苗栗開發危及石虎議題，名列2012十大環境新聞。,,開發案,http://e-info.org.tw/node/99717,無,無,環境資訊中心,
